Harga_Angka,RAM,Memori_Internal,Layar_Ukuran,Refresh,Baterai,Charger,Kamera_MP,Umur_HP,Chipset_Skor,Brand_ADVAN,Brand_APPLE,Brand_ASUS,Brand_HONOR,Brand_HUAWEI,Brand_INFINIX,Brand_MOTOROLA,Brand_OPPO,Brand_REALME,Brand_SAMSUNG,Brand_TECNO,Brand_VIVO,Brand_XIAOMI,Brand_ZTE
0.42493946731234866,0.23809523809523808,0.03225806451612903,0.8117647058823529,0.0,0.7733253588516747,0.13043478260869565,0.0358974358974359,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4733656174334141,0.23809523809523808,0.0967741935483871,0.8117647058823529,0.0,0.7733253588516747,0.13043478260869565,0.0358974358974359,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5702179176755447,0.23809523809523808,0.22580645161290322,0.8117647058823529,0.0,0.7733253588516747,0.13043478260869565,0.0358974358974359,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6670702179176755,0.23809523809523808,0.4838709677419355,0.8117647058823529,0.0,0.7733253588516747,0.13043478260869565,0.0358974358974359,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3159806295399516,0.23809523809523808,0.03225806451612903,0.5764705882352943,0.0,0.5222488038277512,0.13043478260869565,0.0358974358974359,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.364406779661017,0.23809523809523808,0.0967741935483871,0.5764705882352943,0.0,0.5222488038277512,0.13043478260869565,0.0358974358974359,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4612590799031477,0.23809523809523808,0.22580645161290322,0.5764705882352943,0.0,0.5222488038277512,0.13043478260869565,0.0358974358974359,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.576271186440678,0.23809523809523808,0.4838709677419355,0.5764705882352943,0.0,0.5222488038277512,0.13043478260869565,0.0358974358974359,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2312348668280872,0.23809523809523808,0.03225806451612903,0.0,0.0,0.004665071770334928,0.13043478260869565,0.22051282051282053,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2917675544794189,0.23809523809523808,0.0967741935483871,0.0,0.0,0.004665071770334928,0.13043478260869565,0.22051282051282053,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38861985472154964,0.23809523809523808,0.22580645161290322,0.0,0.0,0.004665071770334928,0.13043478260869565,0.22051282051282053,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3946731234866828,0.23809523809523808,0.03225806451612903,0.09411764705882364,0.48,0.17284688995215314,0.17391304347826086,0.22051282051282053,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.46731234866828086,0.23809523809523808,0.0967741935483871,0.09411764705882364,0.48,0.17284688995215314,0.17391304347826086,0.22051282051282053,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5520581113801453,0.23809523809523808,0.22580645161290322,0.09411764705882364,0.48,0.17284688995215314,0.17391304347826086,0.22051282051282053,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.648910411622276,0.23809523809523808,0.4838709677419355,0.09411764705882364,0.48,0.17284688995215314,0.17391304347826086,0.22051282051282053,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3946731234866828,0.23809523809523808,0.03225806451612903,0.02352941176470591,0.48,0.040909090909090895,0.17391304347826086,0.22051282051282053,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4552058111380145,0.23809523809523808,0.0967741935483871,0.02352941176470591,0.48,0.040909090909090895,0.17391304347826086,0.22051282051282053,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5399515738498789,0.23809523809523808,0.22580645161290322,0.02352941176470591,0.48,0.040909090909090895,0.17391304347826086,0.22051282051282053,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.648910411622276,0.23809523809523808,0.4838709677419355,0.02352941176470591,0.48,0.040909090909090895,0.17391304347826086,0.22051282051282053,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38256658595641646,0.23809523809523808,0.03225806451612903,0.07058823529411773,0.0,0.17153110047846887,0.17391304347826086,0.22051282051282053,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.437046004842615,0.23809523809523808,0.0967741935483871,0.07058823529411773,0.0,0.17153110047846887,0.17391304347826086,0.22051282051282053,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5278450363196125,0.23809523809523808,0.22580645161290322,0.07058823529411773,0.0,0.17153110047846887,0.17391304347826086,0.22051282051282053,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3341404358353511,0.23809523809523808,0.03225806451612903,0.0,0.0,0.038277511961722466,0.17391304347826086,0.22051282051282053,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.38256658595641646,0.23809523809523808,0.0967741935483871,0.0,0.0,0.038277511961722466,0.17391304347826086,0.22051282051282053,0.4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
